user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
3399041795,2016-05-30 16:51,,0.25,0.5625,"basic info,supportive message",#Brexit
237587916,2016-05-30 16:39,,0.0,0.0,"eu,vote leaflets,campaign itv",#Brexit
2925107639,2016-05-30 16:30,,-0.732421875,0.4,"cameron tories,eu,ever",#Brexit
222576753,2016-05-30 16:22,,-0.3125,0.6875,house prices,#Brexit
20445725,2016-05-30 16:15,,0.15,0.5944444444444444,"whether,person pic.twitter",#votin #Brexit
53874609,2016-05-30 16:11,,1.0,0.3,,#Brexit
2787649135,2016-05-30 16:01,,0.65,0.875,"history,britain,dont vote,june,grand parents fight",#Brexit
316535085,2016-05-30 15:58,,0.2,0.5,,#Euref #brexit #remain #VoteLeave
987039949,2016-05-30 15:50,,0.2,0.2,"ian botham,100m people",#brexit
2472399354,2016-05-30 15:43,,0.25,0.1,,#ISIS #brexit
379851447,2016-05-30 15:38,,0.0,0.0,"damning,kilmuir,lord chancellor,edward heath",#EU #brexit #referendum #voteleave
1499573666,2016-05-30 15:26,,0.2857142857142857,0.5357142857142857,"never,brussels",#Brexit
15205867,2016-05-30 15:20,"Newcastle Upon Tyne, England",0.0,0.0,"overtook bus,tyne bridge,ipod shuffle",#Brexit #Remain
355487344,2016-05-30 15:14,,0.6,0.8,"brexit,movie,scientists,eu",
393267498,2016-05-30 15:10,,0.0,0.125,"brexit basil,bremain bridget,british fictional characters",
551629377,2016-05-30 15:00,,0.5333333333333333,0.7999999999999999,"prediction markets,young people,awesome",#Brexit #VoteRemain #StrongerIn
1357804465,2016-05-30 14:52,,0.0,0.0,... pic.twitter,#Brexit #VoteRemain
2690377522,2016-05-30 14:46,,0.25,0.55,"eu,favorite …",#Brexit
2427708320,2016-05-30 14:43,,-0.5,1.0,"sad,article |,ian birrell",#xenophobic #Brexit
18640261,2016-05-30 14:40,,0.0,0.0,"visit,brexit,albanian,migrant rescue,eighteen albanian,migrants rescu ...",
20699909,2016-05-30 14:31,,0.0,0.0,"labour,party mayor,cameron,brexit,get out brits,our-party-mayor-to-join-cameron-against-brexit-2016-5 …",
769726807,2016-05-30 14:25,,0.0,0.0,"icymi,md,brexit,accident victims",
